Problem Name	00intro2	13ABDE	14FIRE	15LEAF	16ROFL	17JKLM	18ABC	19SPIN	20LAND	21SKW	22EVO	23NEAT	24MILKCUKI	25FROG	26GHI	27SALT	28RHOM
%(4735702754937489459)%	-	"<%=ifThen(hasValue(question2c, question2d),""Think of 'S' and 'T' as secret codes to represent lengths. Since AE's length is represented by 'S', '6' can be replaced by 'S'. And Since %(Ans1_b)%'s length is represented by 'T', '%(Ans2_b)%' can be replaced by 'T'. Now, how would you replace '6 + %(Ans2_b)% + 6 + %(Ans2_b)%' with S and T?"",""In order to figure out the perimeter of the parallelogram, you must know the lengths of at least 1 base and 1 adjacent side. Please complete entering the letters represented by the sides of %(geoName)%!"")%>"	-	-	-	-	-	-	-	-	-	"50 sq. cm is the value of the area. Note that it's unit is ""sq. cm"" instead of just ""%(unt1)%""."	The only set of base and height given in the Question2 is from the parallelogram MILK. Find its area using this formula: A = b * h. What is the length of the base? What is the length of the height?	"90 sq. in is the value of the area. Note that it's unit is ""sq. in"" instead of just ""%(unt1)%""."	-	-	-
%(-4099230463346982632)%	-	Good job!	Good job!	Good job!	Good job!	"Well done. You did a good job finding parallelogram's height, even if it was not vertical!"	Good job!	Great job! See how the area calculates out to be the same. Parallelogram's area can be calculated using two different heights.	Well done! You chose correct heights for different bases.	Good job!	Good job! 	Neat! You did very well calculating the missing values for the parallelogram.	Good job!	Well done! You chose correct heights for different bases.	Good job!	Good job!	Great job understanding the rhombus!
%(7906032719770737336)%	-	-	-	-	-	"Notice a tiny square on the point where JM and NL meet. This means they are perpendicular to each other. Now, which one is the base?"	-	-	Your partner measured only one side according to Question1. That means you can only use the length of that side to calculate the area. What is the side your partner measured?	-	"There are small squares on point V and M. The small square at point V describe that EV and MV are a perpendicular pair, and the small sqaure at point M describes that VM and MO are a perpendicular pair. "	-	"Notice a tiny square on the point where LK and IJ meet. This means they are perpendicular to each other. Now, which one is the base?"	-	"Notice a tiny square on the point where HI and GJ meet. This means they are perpendicular to each other. Now, which one is the base?"	"Notice a tiny square on the point where AL and SQ meet. This means they are perpendicular to each other. Now, which one is the base?"	-
%(8105580789376547759)%	-	"Think of ""S"" and ""T"" as ""secret codes"" that represent lengths. Right now, AE = S and AB = T. That means you can use ""S"" for other sides that have  the same length as AE, and ""T"" for other sides that have the same length as AB!"	"<%=ifThen(hasValue(question2a, question2b),""Enter the expression for FIRE's perimeter in the highlighted area. Think about what you did when you used 6 and %(Ans2_b)% to figure out that the perimeter is %(Ans2_c)% %(unt1)%, but substitute S and T for '6' and '%(Ans2_b)%!"",""Enter the expression for FIRE's perimeter in the highlighted area. A perimeter is the sum of the lengths of all sides on a geometry."")%>"	-	Enter the value of the parallelogram's area here. It is given in the statement for Question2.	Enter the value of the parallelogram's area here. It is given in the statement for Question2.	-	-	-	-	-	"You can find the height if the base (b) and the area (A) are given! Remember that the area (A) of a parallelogram can be found by calculating ""base"" * ""height""."	Enter the length of the parallelogram CUKI's base here. Not sure which segment is the base? What is the label of the base segment?	"You are looking for the length of the base, FR, which is base #2. <%=ifThen(hasValue(question2d,question2e),""You can find the base(b), if the height(h) and the area(A) is given! Just remember that area (A) = 'base' * 'height'"",""What do you need to know in order to solve for the unknown base?"")%>"	-	Enter the value of the parallelogram's area here. It is given in the statement for Question2.	-
%(-3741763123312482704)%	-	The side adjacent to the base (AB) is 14 %(unit1word)% long. Enter 14 into the highlighted area.	The side adjacent to the base (FI) is 4.5 %(unit1word)% long. Enter 4.5 into the highlighted area.	The height (FS) is 3 %(unit1word)% long.	The height (OP) is 12 %(unit1word)% long.	"<%=ifThen(hasValue(question0b),""NL is 6 %(unit1word)% long. Enter the length into the highlighted area."",""Think about the base first. A base must be a side of a parallelogram. So the base is %(Ans1_a)%. That only leaves NL to be the height. Enter its length into the highlighted area."")%>"	The height (DC) is 5 %(unit1word)% long.	The height (IJ) is 5.5 %(unit1word)% long.	"<%=ifThen(hasValue(question0b),""BD is 16 %(unit1word)% long. Enter the length into the highlighted area."",""The segment parallel to %(Ans1_a)% is %(Base1_alt)%, and the height between them is BD! Enter the length of BD into the highlighted area."")%>"	"<%=ifThen(hasValue(question0b),""KE is 20 %(unit1word)% long. Enter the length into the highlighted area."",""Think about the base first. A base must be a side of a triangle. So the base is %(Ans1_a)%. That only leaves KE to be the height. Enter its length into the highlighted area."")%>"	"<%=ifThen(hasValue(question0b),""MV is 5.5 %(unit1word)% long. Enter the length into the highlighted area."",""Think about the base first. A base must be a side of a triangle. So the base is %(Ans1_a)%. That only leaves MV to be the height. Enter its length into the highlighted area."")%>"	The side adjacent to the base (NE) is 9 %(unit1word)% long. Enter 9 into the highlighted area.	"<%=ifThen(hasValue(question0b),""IJ is 60 %(unit1word)% long. Enter the length into the highlighted area."",""Think about the base first. A base must be a side of a parallelogram. So the base is %(Ans1_a)%. That only leaves IJ to be the height. Enter its length into the highlighted area."")%>"	"<%=ifThen(hasValue(question0b),""AG is 9.5 %(unit1word)% long. Enter the length into the highlighted area."",""Think about the base #1 first. A base must be a side of a parallelogram. So the base #1 is %(Ans1_a)%. That only leaves AG to be the height #1. Enter its length into the highlighted area."")%>"	"<%=ifThen(hasValue(question0b),""GJ is 16.4 %(unit1word)% long. Enter the length into the highlighted area."",""Think about the base first. A base must be a side of a triangle. So the base is %(Ans1_a)%. That only leaves GJ to be the height. Enter its length into the highlighted area."")%>"	"<%=ifThen(hasValue(question0b),""SQ is 0.35 %(unit1word)% long. Enter the length into the highlighted area."",""Think about the base first. A base must be a side of a parallelogram. So the base is %(Ans1_a)%. That only leaves SQ to be the height. Enter its length into the highlighted area."")%>"	The height (NM) is 17 %(unit1word)% long.
%(-6701245271824411299)%	-	-	-	-	"The label under ""Height of ROFL"" is %(Ans1_b)%. Do you remember how long the segment %(Ans1_b)% is? Read the problem statement again if you forgot. "	"<%=ifThen(hasValue(question0b),concat(""The label you entered under 'Height of JKLM' is "",question0b,"". How long is this segment? Read the question statement again if you are not sure.""),""As shown by the diagram, %(Ans1_a)% and %(Ans1_b)% are perpendicular. Which one is the height?"")%>"	-	"<%=ifThen(hasValue(question2b),concat(""The label you entered under 'Only known Height for SPIN' for Question2 is "",question2b,"". How long is this segment? Read the question statement again if you are not sure.""),""There are two possible heights marked in the diagram and they are ST and IJ. But the question statement has given you the length of only one of the height. Which height is this?"")%>"	"<%=ifThen(hasValue(question2b),concat(""The label you entered under 'Height of LAND' for Question2 is "",question2b,"". How long is this segment?""),""The only side measured by your partner is %(trgtBase2)%, so you will have to use that as the base. Which height is perpendicular to %(trgtBase2)%? Note that, in a parallelogram, a parallel pair of segments is perpendicular to the same height in between them."")%>"	-	-	"Re-read Question3 to find how long NE is. If you don't see it in the question statement, remember that a parallel pair of segments on a parallelogram always has the SAME length!"	-	"<%=ifThen(hasValue(question0b),concat(""The label you entered under 'Height #1 (perpend. to base 1)' is "",question0b,"". How long is this segment? Read the question statement again if you are not sure.""),""As shown by the diagram, RO and %(Ans1_b)% are perpendicular. Which one is the height?"")%>"	-	"<%=ifThen(hasValue(question0b),concat(""The label you entered under 'Height of SALT' is "",question0b,"". How long is this segment? Read the question statement again if you are not sure.""),""As shown by the diagram, %(Ans1_a)% and %(Ans1_b)% are perpendicular. Which one is the height?"")%>"	-
%(5007285996963236758)%	-	-	-	-	-	-	-	-	-	-	-	-	-	The base #2 (FR) is already labeled for you! All you have to do is find the height that is perpendicular to the base #2 (FR).	-	-	-
%(6678852749996571316)%	-	"Wrong. You should enter expression that represents the side adjacent ot the base.""S"" represents the base."	"Wrong. You should enter expression that represents the side adjacent ot the base.""S"" represents the base."	-	-	"That side CAN be a base, but it does not have a height perpendicular to it; this is bad because you can't calculate the area with it! Please choose a base that has a height perpendicular to it. "	-	"That side CAN be a height, but for question 2, this height has an unknown length. You must use the height with a known length in order to find the area of SPIN"	You don't want to use that height! You must use the height that is perpendicular to the base your partner measured! The height you entered is perpendicular to AL and ND.	The side you entered cannot be a height; it doesn't have any side perpendicular to it.	"No, MO cannot be a base. Remember, only a side of the geometry can be a base. Dotted-lines indicate guidelines, not an actual side."	-	"That side may look like a base because it is horizontal, but is there a base MUST be a side of a parallelogram!"	Wrong. That CAN be a height but you must find a height that is perpendicular to base #2. Base #2 is FR; which height is perpendicular to this base?	"No, GJ cannot be a base. Remember, only a side of the geometry can be a base. Dotted-lines indicate guidelines, not an actual side."	"That side may look like a base because it is horizontal, but is there a base MUST be a side of a parallelogram!"	-
%(-8191750067766327358)%	-	AB's length is 14 %(unt1)%. Therefore %(Ans1_d)%'s length is 14 %(unt1)% too! Enter %(Ans2_d)% in the highlighted area.	-	-	-	-	-	-	-	-	-	"<%=ifThen(hasValue(question1a,question1b),""The perimeter of parallelogram NEAT is (5.5 + %(Ans2_b)%) * 2 = %(Ans2_e)%."",""Fill in the lengths of %(Ans1_a)% and %(Ans1_b)%, then come back to this field!"")%>"	The height (UV) is 10 %(unit1word)% long.	x	-	-	"<%=ifThen(hasValue(question1a,question1b),concat(""All you have to do is multiply the length of the base ("",question0a,"" = 24) by the height (NM = %(Ans2_b)%). Therefore, A = 24 * %(Ans2_b)%!""),""Uh oh, you cannot figure out the area without the lengths of the base and the height! Come back to this field after you find their lengths!"")%>"
%(-7760095407614420741)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
%(7906031719766737317)%	-	-	-	-	-	Base must be a side of a parallelogram! Which segment is a side of the parallelogram JKLM? JM or %(Ans1_b)%?	-	-	"Your partner only measured AN, but if you don't like that side, you can also use LD as your base. Parallel segment pairs on a parallelograms have the same length, and are perpendicular to the same height!"	-	"MO is not a side a of a triangle, so the perpendicular pair VM and MO is useless! You should use the perpendicular pair EV and MV to find which segment is the base."	-	Base must be a side of a parallelogram! Which segment is a side of the parallelogram MILK? LK or %(Ans1_b)%?	-	Base must be a side of a triangle! Which segment is a side of the triangle GHI? HI or %(Ans1_b)%?	Base must be a side of a parallelogram! Which segment is a side of the parallelogram SALT? AL or %(Ans1_b)%?	-
